ID,Subestación de Poder,Alimentador,Zona Mantenimiento,SED,Nombre,Kva Etdtrafo,Clientes,Netbilling,Electrodependientes,Ordenes SAP,Avisos SAP,Solicitudes Daño Individual,Solicitudes SEC SERNAC,Solicitudes DOM,Presentaciones,Interrupciones BT
790,Mayaca,Prat,Quillota,30018,Blanco Escutti,150.00 kVA,300,,,,,34,,9,1,1
791,Quilpué,Freire,Marga Marga,20442,Madrid Belloto,150.00 kVA,215,,,,,41,,15,6,2
792,Reñaca,Costa Brava,Costa,20047,Cooperativa Gaston Hamel,75.00 kVA,113,,,,,36,,8,1,5
793,Quintero,Loncura,Costa,21396,El Alba Josefina,45.00 kVA,78,,,,,34,,13,,
794,Quilpué,El Sol,Marga Marga,20238,Julio Velasco Colon,100.00 kVA,191,,,,,76,,10,3,7
795,San Antonio,Llolleo,San Antonio,50314,Carrera Puerto Williams,150.00 kVA,282,,,,,22,,13,,
796,Peñablanca,El Pangal,Quillota,30296,18 Septiembre Victoria,150.00 kVA,132,,,,,37,,6,2,2
797,Panquehue,Panquehue,Los Andes,40339,Encon Palomar 1,75.00 kVA,42,,,,,3,,1,,2
798,San Felipe,Putaendo,Los Andes,40275,Muñoz Los Alamos,30.00 kVA,65,,,2,1,10,,3,1,2
799,Reñaca,Alejandro Navarrete,Costa,20079,Austral Cono Sur,150.00 kVA,299,,,,,28,,7,3,6
800,Placeres,Agua Santa,valparaiso,10317,Pivet Carrera,150.00 kVA,242,,,1,,84,,23,4,7
801,Quintero,Loncura,Costa,20783,SED Chocota El Medano,45.00 kVA,59,,,,,42,,14,,1
802,Catemu,Catemu,Los Andes,42142,Comite Viviendas San Carlos,45.00 kVA,94,,,,,8,,3,,1
803,San Rafael,Las Juntas,Los Andes,40554,Nuevo Amanecer San Esteban,75.00 kVA,170,,,,,11,1,3,1,
804,Quilpué,Paso Hondo,Marga Marga,20535,Los Carreras Lautaro,150.00 kVA,291,,,,,73,,6,3,4
805,San Rafael,El Almendral,Los Andes,42877,SED J Montero V Yuri,100.00 kVA,116,,,,,14,,5,6,4
806,Valparaíso,Sauce,valparaiso,10062,Cumming,300.00 kVA,432,1,,,,43,,20,,3
807,Quilpué,Belloto,Marga Marga,20604,Las Rosas Bilbao,300.00 kVA,279,,1,2,1,38,,15,2,2
808,San Rafael,Chacabuco,Los Andes,40186,Las Nuñez_Galvez,100.00 kVA,47,,1,,,7,,3,3,
809,Mayaca,Boco,Quillota,30049,Balmaceda Poligono,75.00 kVA,147,,,1,1,43,,2,4,6
810,San Pedro,Olmué,Quillota,30587,Baquedano Sta Regina,100.00 kVA,95,,1,1,2,29,,4,3,4
811,Peñablanca,Huanhuali,Marga Marga,21193,Echaurren Carrera,150.00 kVA,178,,,,,43,,15,3,6
812,Peñablanca,Wilson,Marga Marga,20454,Madrid Segunda,150.00 kVA,205,1,1,,,68,,16,1,3
813,San Pedro,Olmué,Quillota,30832,Pob Union Narvaez,150.00 kVA,153,,,,,14,,6,,
814,San Antonio,Aguas Buenas,San Antonio,50148,SED SAMUEL GARCIA BROCKMAN,150.00 kVA,200,,,1,,34,,12,,2
815,La Calera,La Cruz,Quillota,30187,J J Perez Caupolican,300.00 kVA,141,,,2,2,29,,4,1,3
816,Reñaca,Alejandro Navarrete,Costa,20074,Gomez Carreño 6,150.00 kVA,276,,1,,,48,,24,,3
817,La Calera,Hijuelas,Quillota,31081,Centenario Pob M Rodriguez 2,45.00 kVA,66,,,2,1,17,,5,3,7
818,Catemu,Catemu,Los Andes,40422,Asto. 25 de Mayo,45.00 kVA,32,,,,,11,,6,,1
819,San Felipe,Tocornal,Los Andes,40238,Santa Filomena,30.00 kVA,48,,,,,6,,,,2
820,San Pedro,Lliu Lliu,Quillota,30264,Pob C Ward,75.00 kVA,172,,,1,1,5,,3,,3
821,Reñaca,Alejandro Navarrete,Costa,20061,Eduardo Yañez Curinanco,150.00 kVA,159,,,3,1,56,,27,3,8
822,Quintero,Quintero,Costa,22569,San Martin Pasaje 1,300.00 kVA,201,,,,,6,,2,2,1
823,Las Vegas,Santa Teresa,Los Andes,42386,Calle 1_Las Palmas,100.00 kVA,121,,,,,7,,5,,1
824,Mayaca,Pocochay,Quillota,30105,Arauco_Villarrica,75.00 kVA,84,,,,,16,,3,3,1
825,Mayaca,Pocochay,Quillota,30107,21 de Mayo Plaza La Cruz,75.00 kVA,126,,,,,4,,3,1,1
826,Peñablanca,El Rincón,Marga Marga,22391,SED Santa Maria Colon,150.00 kVA,137,,2,1,,39,,20,3,8
827,San Sebastián,Cartagena,San Antonio,51115,SED ASTURIAS EL OCASO,75.00 kVA,158,,,,,9,,5,1,
828,Panquehue,Panquehue,Los Andes,43092,LA PIRCA CALLE OHIGGINS,100.00 kVA,143,,,,,4,,2,,
829,San Pedro,Lliu Lliu,Quillota,30989,Conjunto Hab Las Palmas,75.00 kVA,108,,,,,14,,2,1,5
830,Mayaca,Boco,Quillota,30045,Aconcagua Latorre,150.00 kVA,224,,,,,29,,13,1,1
831,Quilpué,Paso Hondo,Marga Marga,20432,Av.Freire Patricio Lynch,300.00 kVA,310,,1,,,41,,15,2,1
832,San Antonio,San Juan,San Antonio,50255,Callejon Seis Los Huasos 3,45.00 kVA,37,,,1,,29,,7,2,4
833,Quintero,Quintero,Costa,22673,Chimbote Descanso,150.00 kVA,128,,,,,23,,9,1,1
834,San Pedro,Lliu Lliu,Quillota,30394,Independencia Los Pinos,150.00 kVA,204,,,,,10,,5,1,1
835,Mayaca,Boco,Quillota,30561,Pob Los Lucumos,150.00 kVA,267,,,,,20,,10,1,1
836,Miraflores,Viña del Mar Alto,Costa,20116,Las Palmeras,150.00 kVA,229,,1,,,66,,22,4,3
837,Las Vegas,Santa Teresa,Los Andes,40401,V. Mackena Varas,75.00 kVA,106,,,,,10,,6,,1
838,La Calera,Calera,Quillota,30186,Pob Panamericana,75.00 kVA,142,,,,,14,,5,,
839,Bosquemar,Lilenes,Costa,21471,Las Pimpinelas Las Catalpas,300.00 kVA,141,,,,,12,,9,2,2
840,Reñaca,Alejandro Navarrete,Costa,20080,Gomez Carreño 12,150.00 kVA,286,,,,,19,,11,7,2
841,Quintero,Loncura,Costa,23080,Valle del Estero 1,75.00 kVA,64,,2,,,22,,9,3,
842,Quintero,Maitenes,Costa,24059,SED Calle Laso Los Mineros,75.00 kVA,104,,,,,19,,8,3,1
843,Quintero,Quintero,Costa,21405,Hmnos Carrera Francia,75.00 kVA,98,,,,,26,,18,,
844,Quintero,Maitenes,Costa,24048,SED Av El Boldo Las Jaivas,75.00 kVA,88,,,,,30,,18,1,
845,San Rafael,Centenario,Los Andes,40124,Los Azules Prat,75.00 kVA,139,,,,,48,,8,2,3
846,Playa Ancha,Pacifico,valparaiso,10171,SED Poblacion Eleuterio Ramirez,150.00 kVA,153,,2,1,,140,,26,11,10
847,Quilpué,Quilpué,Marga Marga,20607,Viña del Mar Guillermo Lyng,100.00 kVA,201,,2,1,,86,,24,3,1
848,San Felipe,San Felipe,Los Andes,42046,Av. Uno_Bernardo Cruz,75.00 kVA,168,,,,,29,,14,1,1
849,Quilpué,Paso Hondo,Marga Marga,20513,Peyronet El Arrayan,300.00 kVA,147,1,2,2,,73,,11,5,8
850,San Felipe,Putaendo,Los Andes,40579,Las Coimas La Cancha,45.00 kVA,48,,,,,17,,4,2,2
851,San Pedro,Lliu Lliu,Quillota,30918,Conjunto Habitacional Las Tinajas,150.00 kVA,132,,,,,20,,7,1,2
852,Peñablanca,Huanhuali,Marga Marga,20523,Tercera Barcelona,150.00 kVA,263,,,,,39,,14,1,3
853,San Sebastián,Cartagena,San Antonio,50124,Garland El Ensueño,75.00 kVA,59,,,,,15,,4,1,4
854,San Antonio,Barrancas,San Antonio,50203,DANIEL SALCEDO-LLAIMA,75.00 kVA,131,,,1,,38,,15,1,3
855,San Antonio,Llolleo,San Antonio,50481,Cristo Rey  El Carmen,75.00 kVA,148,,,,,41,,12,1,3
856,San Felipe,San Felipe,Los Andes,42054,Marcela Paz_El Canelo,150.00 kVA,158,,1,,,28,,10,2,2
857,Mayaca,Boco,Quillota,30364,Los Educadores Calle 2,150.00 kVA,215,,,,,32,,13,1,1
858,Miraflores,Achupallas,Costa,20236,Villa Arauco,150.00 kVA,253,,,,,67,,22,3,2
859,San Antonio,Barrancas,San Antonio,50981,EL PARQUE MARBELLA,100.00 kVA,74,,,,,20,,8,,1
860,Miraflores,Achupallas,Costa,20487,Belgica Estados Unidos,75.00 kVA,148,,1,1,,107,,12,11,8
861,Playa Ancha,Tomás Ramos,valparaiso,10683,Aduanilla Castillo,100.00 kVA,265,,2,,,97,,16,5,6
862,Quintero,Loncura,Costa,23645,SED Los Aromos Los Pimientos,75.00 kVA,103,,1,,,21,,9,,
863,San Rafael,Centenario,Los Andes,42724,Calle 2_Plazoleta,75.00 kVA,68,,,,,19,,3,,2
864,Quintero,Loncura,Costa,22073,SED El Molino Calle 2,45.00 kVA,84,,,,,27,,5,,2
865,San Pedro,Lliu Lliu,Quillota,30835,Independencia El Hierro,150.00 kVA,194,,,,,15,,7,,1
866,San Pedro,Lliu Lliu,Quillota,30256,Colon P Romano N,75.00 kVA,149,,,,,36,,6,2,1
867,San Pedro,Said,Quillota,31152,Via Tres Veintidos,150.00 kVA,181,,,,,43,,17,2,
868,San Pedro,Olmué,Quillota,31001,Blanco Encalada_Diego Portales,300.00 kVA,161,1,,,,32,,6,,2
869,Quilpué,El Carmen,Marga Marga,23164,Madrid Pudeto,150.00 kVA,205,1,,,,32,,15,2,2
870,La Calera,La Cruz,Quillota,30542,Parcela 41 OHiggins,100.00 kVA,164,,,1,1,12,,3,,3
871,Quintero,Quintero,Costa,20247,SED Camino Estacion Maestranza,150.00 kVA,94,,,2,1,34,,10,1,2
872,Mayaca,Prat,Quillota,30017,Condell Meza,150.00 kVA,237,,,,,14,,8,4,
873,San Pedro,Limache,Quillota,30241,Chamorro Sta Rosa,75.00 kVA,94,,,,,17,,7,,1
874,San Antonio,Aguas Buenas,San Antonio,50179,Palmeras Gonzalez,75.00 kVA,174,,,,,13,,7,,4
875,Quilpué,El Sol,Marga Marga,20538,Sotomayor Hevia,150.00 kVA,182,,,,,38,,19,2,4
876,Placeres,Polanco,valparaiso,10219,Porter Simpson,150.00 kVA,278,,,,,65,,25,2,4
877,San Rafael,El Almendral,Los Andes,40245,La Santita,75.00 kVA,133,,1,1,,11,,5,,6
878,Mayaca,Boco,Quillota,30083,Colon Pizarro,150.00 kVA,134,,,4,3,30,,9,2,5
879,Quilpué,El Sol,Marga Marga,20410,L.Carreras Barros Arana,300.00 kVA,317,,,,,28,,9,4,1
880,San Antonio,Las Brisas,San Antonio,50236,CALLE 1 CALLE 2,75.00 kVA,66,,,,,34,,3,,3
881,San Rafael,Los Andes,Los Andes,40139,Aguirre_Las Beatas,75.00 kVA,50,,,2,1,16,,3,,3
882,San Rafael,Centenario,Los Andes,40082,Santa Rosa,45.00 kVA,40,,,,,37,,6,,3
883,Panquehue,Panquehue,Los Andes,40338,Palomar,75.00 kVA,11,,,1,,23,,6,,6
884,La Calera,Calera,Quillota,30738,Pachacamita 2,30.00 kVA,51,,,,,16,,5,1,2
885,San Felipe,Putaendo,Los Andes,40307,Pigunchen,45.00 kVA,107,,,,,15,,6,,
886,Placeres,Agua Santa,valparaiso,10252,Villa Berlin Uno,150.00 kVA,269,,,1,1,54,,19,4,5
887,Mayaca,Pocochay,Quillota,30098,Pompeya Lorca Prieto,75.00 kVA,154,,,,,12,,6,,
888,Quilpué,Paso Hondo,Marga Marga,20652,San Felipe Marga Marga,150.00 kVA,103,3,,2,1,30,,4,,19
889,San Rafael,Chacabuco,Los Andes,40185,Galvez Alborada,75.00 kVA,125,,,,,14,,4,3,4
890,La Calera,La Cruz,Quillota,31564,Casa Parque 2,100.00 kVA,120,,,,,20,,11,1,1
891,San Antonio,San Antonio,San Antonio,50087,Camilo Henrriquez Serrano,150.00 kVA,108,,,,,34,,16,1,4
892,Mayaca,Boco,Quillota,30590,Pob Rebolar II Etapa,150.00 kVA,246,,,,,26,,10,1,1
893,Bosquemar,Lilenes,Costa,20647,Alerce Roble,150.00 kVA,191,,1,,,12,,5,1,2
894,Peñablanca,Huanhuali,Marga Marga,20746,Almirante Neff San Martin,150.00 kVA,184,1,,,,56,,14,2,3
895,San Antonio,San Antonio,San Antonio,50084,SED BRUSELAS MIRASOL,150.00 kVA,190,,1,,,34,,12,1,1
896,Bosquemar,Manatiales,Costa,20690,Cisnes Punta Arenas,150.00 kVA,118,1,,,,65,,8,2,3
897,Quintero,Maitenes,Costa,23444,Salas J. Brito,150.00 kVA,164,,,,,14,,7,,1
898,Quilpué,Freire,Marga Marga,20622,G.Carreño 20 de Enero,150.00 kVA,168,,1,2,1,39,,18,5,3
899,Quintero,Quintero,Costa,22810,L Cousiño San Martin,150.00 kVA,117,,,,,17,,8,,2
900,La Calera,La Cruz,Quillota,30360,Victoria Unión,75.00 kVA,173,,,,,14,,9,1,
901,Quintero,Quintero,Costa,20646,Baquedano OHiggins,150.00 kVA,86,,,,,33,,13,,2
902,Playa Ancha,Tomás Ramos,valparaiso,10462,Detective Barahona Puerto Rico,150.00 kVA,179,,,,,112,1,20,6,10
903,Playa Ancha,Tomás Ramos,valparaiso,10597,SED Cno Cintura Rigoletto,150.00 kVA,258,,,,,51,,23,4,4
904,Placeres,Placeres,valparaiso,10113,SED Matta Latorre,150.00 kVA,226,,1,1,1,87,,26,4,5
905,La Calera,Artificio,Quillota,30887,Tal Tal Tocopilla,45.00 kVA,126,,,,,20,,11,2,
906,San Pedro,Pachacama,Quillota,30729,Cancha Rabuco Estero,30.00 kVA,72,,,,,12,,4,1,1
907,Catemu,Catemu,Los Andes,42040,SED La Estancilla_Vía Férrea,45.00 kVA,58,,,,,16,,7,1,2
908,San Antonio,San Antonio,San Antonio,50510,Parque Mirador,100.00 kVA,31,,,1,1,81,,7,6,28
909,Valparaíso,Uruguay,valparaiso,10124,Naylor El Vergel,150.00 kVA,229,,1,,,58,,25,7,3
910,Playa Ancha,Tomás Ramos,valparaiso,10050,Catorce Asientos Almirante Montt,300.00 kVA,354,,,,,54,,7,6,4
911,San Felipe,San Felipe,Los Andes,40260,Irene Diaz,75.00 kVA,184,,,,,14,1,4,,4
912,Placeres,Barón,valparaiso,10117,Mitre Valparaiso,150.00 kVA,332,,,,,69,,20,2,3
913,San Felipe,San Felipe,Los Andes,40865,Toromazote Prat,300.00 kVA,173,,,,,27,,11,,2
914,Peñablanca,El Pangal,Quillota,30270,Independencia_Balmaceda,100.00 kVA,131,,,,,67,,7,2,1
915,Playa Ancha,Pacifico,valparaiso,10107,Marina Mercante Dos,150.00 kVA,353,,2,,,79,,12,8,1
916,San Rafael,Las Juntas,Los Andes,42095,Larraín_San Esteban,30.00 kVA,39,,,,,4,,3,2,4
917,Bosquemar,Lilenes,Costa,20118,Concon Reñaca Transversal,100.00 kVA,97,1,,,,18,,15,2,2
918,Mayaca,Pocochay,Quillota,30099,21 de Mayo Polvareda,150.00 kVA,149,,,,,8,,3,,1
919,San Antonio,San Antonio,San Antonio,51235,SED ROSENDO FERNNADEZ ELIDIO SOTO,100.00 kVA,83,,,,,58,,10,2,8
920,San Pedro,Said,Quillota,30565,Pob Sol de Julio,75.00 kVA,199,,1,1,1,22,,10,1,2
921,San Rafael,Centenario,Los Andes,42407,San Carlos_La Caldera,75.00 kVA,82,,1,,,11,,2,1,1
922,San Pedro,Olmué,Quillota,30295,Eastmann Lo Claro,100.00 kVA,91,1,1,,,27,,12,1,2
923,San Antonio,San Juan,San Antonio,50537,LUIS CRUZ CALLEJON 5,100.00 kVA,65,,,2,2,22,,3,,4
924,San Antonio,Llolleo,San Antonio,51177,SED DEL CANELO CRISTO REY,100.00 kVA,149,,,,,37,,16,1,1
925,San Rafael,El Almendral,Los Andes,40250,Av. Hnos. Carrera Bdo. Cruz,150.00 kVA,242,2,1,,,25,,10,1,
926,Bosquemar,Lilenes,Costa,21259,Bellavista Los Pinguinos,100.00 kVA,120,1,,,,30,,14,,2
927,Miraflores,Salinas,Costa,20151,SED Miraflores Alto 4,150.00 kVA,284,1,,,,33,,22,,2
928,San Rafael,San Vicente,Los Andes,40077,Poblacion Hijuelas,75.00 kVA,146,,,,,17,,8,2,2
929,San Antonio,Barrancas,San Antonio,50223,Arrayan Copihues,75.00 kVA,135,,,,,45,,9,1,4
930,Quilpué,El Sol,Marga Marga,21119,Los Carreras Calle Cuarta,150.00 kVA,272,,,,,57,,10,3,2
931,Placeres,Santos Ossa,valparaiso,10384,Santa Teresita 2,150.00 kVA,370,,2,1,1,79,,21,1,2
932,Panquehue,Panquehue,Los Andes,40342,Pobl. Sta. Adela Panquehue,75.00 kVA,50,,,,,5,,2,,1
933,Placilla,Bosque,valparaiso,10258,Martinez Cruz Portugal,75.00 kVA,103,,,,,249,,21,13,19
934,Quilpué,Quilpué,Marga Marga,20412,Serrano Valencia,150.00 kVA,213,1,1,,,39,,20,1,2
935,San Pedro,Pachacama,Quillota,30216,El Retiro Romeral,45.00 kVA,57,,1,,,9,,5,,2
936,Las Vegas,Llay Llay,Los Andes,40976,A_Lavin_I_Carrera,75.00 kVA,168,,,,,11,,5,,
937,Quintero,Quintero,Costa,20836,Costanera Pomabamba,75.00 kVA,98,,,1,,21,,9,2,1
938,Valparaíso,Sauce,valparaiso,10115,Miguel Angel Almagro,150.00 kVA,322,,1,,,61,,27,3,
939,Quilpué,Belloto,Marga Marga,22469,Marga Marga Los Nardos,100.00 kVA,116,,,3,1,44,,10,1,13
940,Quintero,Loncura,Costa,20803,Asentamiento El Esfuerzo,75.00 kVA,104,,,,,22,,3,3,2
941,San Felipe,Tocornal,Los Andes,40427,Las Cabras,75.00 kVA,49,,,,,16,,6,1,1
942,San Antonio,Llolleo,San Antonio,50308,Las Perdices,75.00 kVA,161,,,,,41,,10,,3
943,Quilpué,Paso Hondo,Marga Marga,21181,Villarrica Volcan Melimoyo,300.00 kVA,393,,1,,,59,,12,,1
944,San Sebastián,Cartagena,San Antonio,50725,Las Rocas Las Olas,45.00 kVA,119,,,,,20,,5,,1
945,Quintero,Quintero,Costa,24085,SED Portales Argentina,75.00 kVA,74,,,,,40,,15,3,
946,Peñablanca,El Pangal,Quillota,31097,Villa Italia Republica,100.00 kVA,161,,,,,17,,8,,1
947,San Antonio,Barrancas,San Antonio,50475,Pudeto Aconcagua,100.00 kVA,113,,,,,28,,22,1,1
948,Bosquemar,Manatiales,Costa,21184,Diez Cortez,75.00 kVA,117,,,,,25,,16,2,
949,Panquehue,Panquehue,Los Andes,40584,Antofagasta_San Gabriel,100.00 kVA,41,,,,,9,,3,,1
950,Peñablanca,El Rincón,Marga Marga,20600,Del Puente Guacolda,75.00 kVA,202,,,,,32,,14,3,3
951,San Rafael,Centenario,Los Andes,40792,San Vicente Escuela,45.00 kVA,37,,,,,21,,2,2,3
952,Peñablanca,Wilson,Marga Marga,20453,Prat Av Valparaiso,300.00 kVA,161,,,1,,59,,13,2,4
953,San Antonio,San Juan,San Antonio,50336,SED EUCALIPTUS GANDARILLAS,150.00 kVA,253,,,,,23,,2,2,2
954,Mayaca,Boco,Quillota,30365,Los Educadores calle 3,75.00 kVA,247,,1,,,23,,6,1,2
955,El Melón,Nogales,Quillota,30566,Pob General Velasquez,45.00 kVA,88,,,,,11,,5,,1
956,Playa Ancha,Pacifico,valparaiso,10160,SED Porvenir Pedro Aguirre Cerda,150.00 kVA,254,,,,,104,,21,4,4
957,Quintero,Maitenes,Costa,24062,SED 11 de Septiembre El Coral,75.00 kVA,102,,,,,26,,13,1,
958,Placeres,Santos Ossa,valparaiso,10198,Rodelillo Cuatro,150.00 kVA,297,,2,,1,108,,24,4,1
959,Peñablanca,El Pangal,Quillota,31904,El Torreon Aires de Limache,150.00 kVA,174,,1,,,11,,3,2,1
960,Quilpué,Freire,Marga Marga,20480,El Ocaso Pasaje 824,150.00 kVA,241,,,,,52,,9,3,3
961,San Rafael,Chacabuco,Los Andes,42485,Calle Nueva_Los Viñedos,75.00 kVA,39,1,,,,23,,3,,2
962,Placeres,Barón,valparaiso,10217,SED Simpson Campoamor,150.00 kVA,246,,2,,,77,,18,3,6
963,San Pedro,Olmué,Quillota,30331,Granizo El Peumo,75.00 kVA,95,1,,,,19,,6,1,
964,San Felipe,Putaendo,Los Andes,40919,Plaza Rinconada de Silva,75.00 kVA,53,2,,,,25,,5,,2
965,Catemu,Catemu,Los Andes,43232,Diego Portales_Condell,75.00 kVA,115,,,,,7,,4,,
966,Quintero,Maitenes,Costa,21923,SED Normandie Lomas de Mirasol II,100.00 kVA,100,,,,,37,,7,1,2
967,Playa Ancha,Pacifico,valparaiso,10087,La Explanada,150.00 kVA,364,,1,1,,94,,9,5,3
968,Placeres,Polanco,valparaiso,10239,Velazco Antunez,150.00 kVA,237,,,,,94,,12,5,7
969,San Antonio,Llolleo,San Antonio,50318,Carrera Peumo,150.00 kVA,184,,,,,28,,9,2,1
970,Quintero,Maitenes,Costa,20347,Las Brisas Bahia,75.00 kVA,65,,,,,24,,11,,4
971,San Felipe,San Felipe,Los Andes,40848,Av. Chile Pasaje 3,150.00 kVA,195,,,,,38,,5,,3
972,Peñablanca,El Pangal,Quillota,31058,Melinka Tabon,150.00 kVA,131,,,,,36,,6,2,1
973,San Antonio,Barrancas,San Antonio,50246,Marbella  Aromos,150.00 kVA,59,,,,,9,,7,1,1
974,San Felipe,Tocornal,Los Andes,42329,El Canelo_La Lenga,100.00 kVA,129,,,,,5,,4,,
975,Miraflores,Viña del Mar Alto,Costa,20819,Lago Condor Isla Partida,75.00 kVA,202,,,,,43,,26,4,1
976,San Pedro,Olmué,Quillota,30305,C Sweet B Encalada,150.00 kVA,68,,,,,10,,5,,2
977,Reñaca,Costa Brava,Costa,22345,Francisco Soza Las Fucsias,750.00 kVA,250,,,,,8,,2,2,1
978,San Antonio,Pesqueras,San Antonio,51339,SED GUARDIANES DEL ESPACIO,75.00 kVA,38,,,,,24,,9,3,3
979,Quilpué,Belloto,Marga Marga,20590,SED Fernandois Adriazola,300.00 kVA,188,,,1,,69,,18,6,
980,Miraflores,Salinas,Costa,20041,Chile Nuevo,150.00 kVA,191,,1,,,50,,26,2,3
981,La Calera,La Cruz,Quillota,30980,Conj Hab Laguna del Inca,100.00 kVA,133,,,,,48,,7,3,
982,Placeres,Agua Santa,valparaiso,20637,Galvarino Colo Colo,150.00 kVA,219,,,,,80,,8,1,8
983,Panquehue,Panquehue,Los Andes,40346,La Cabaña_Las Casas,100.00 kVA,59,,,,,10,,4,,
984,La Calera,Calera,Quillota,30536,Las Quintas El Parque,75.00 kVA,108,,,1,1,21,,14,1,
985,San Antonio,Llolleo,San Antonio,50332,SED BAQUEDANO GANDARILLAS,150.00 kVA,153,,1,,,25,,10,,3
986,San Rafael,San Vicente,Los Andes,40476,Poblacion Bellavista,150.00 kVA,175,,,,,29,,14,,
987,San Pedro,Olmué,Quillota,30614,Cajon Grande Los Andinistas,75.00 kVA,58,1,,1,1,34,,17,3,2
988,San Rafael,San Vicente,Los Andes,40626,Villorrio El Huapi,45.00 kVA,85,1,,,,21,,5,,1
989,Peñablanca,Huanhuali,Marga Marga,20491,Arrieta Altamirano,150.00 kVA,215,,,1,,53,,12,1,4
990,San Pedro,Said,Quillota,31363,Antumapu 1,150.00 kVA,165,,,,,38,,17,,1
991,Valparaíso,Puerto 1,valparaiso,10840,Melgarejo,300.00 kVA,200,,,,,56,,48,1,
992,San Antonio,Aguas Buenas,San Antonio,50183,Palmeras San Ambrosio,150.00 kVA,170,,,,,18,,14,,1
993,La Calera,La Palmilla,Quillota,30727,Villa Los  Ilustres,75.00 kVA,117,,,,,4,,3,2,
994,Peñablanca,El Pangal,Quillota,30854,La Victoria Los Guindos,150.00 kVA,186,,,,,15,,9,,
995,Placeres,Placeres,valparaiso,10230,SED Trabajadores Unidos,150.00 kVA,222,,,2,1,66,,20,2,7
996,Quilpué,Quilpué,Marga Marga,21977,SED Cruz de Lorena III,300.00 kVA,206,,,,,39,,20,2,1
997,Mayaca,Boco,Quillota,31013,Camino el Real Boco,75.00 kVA,49,,,,,28,,7,,3
998,La Calera,La Palmilla,Quillota,31218,Conj Habitac Cno del Sol 2,150.00 kVA,136,,,,,30,,3,,1
999,Bosquemar,Lilenes,Costa,21690,SED Los Veleros Bellavista,300.00 kVA,76,,1,1,,33,,7,5,4
1000,San Rafael,Centenario,Los Andes,40489,Camponovo Bicentenario,75.00 kVA,173,,,,,48,,2,,4
1001,Reñaca,Costa Brava,Costa,22668,Golondrina Los Mirlos,500.00 kVA,220,,1,,,6,,1,,3
1002,San Rafael,Los Andes,Los Andes,40130,Yerbas Buenas Sur,300.00 kVA,186,,1,1,1,16,,5,1,2
1003,La Calera,La Cruz,Quillota,30472,O Higgins Pje 1,150.00 kVA,154,,,1,1,6,,5,3,
1004,Quintero,Quintero,Costa,21186,SED Huayllas,150.00 kVA,52,,1,,,21,,14,1,4
1005,Mayaca,Boco,Quillota,30076,J M Carrera Bajio,150.00 kVA,163,,,,,32,,11,,3
1006,San Antonio,Barrancas,San Antonio,50219,Providencia Arrayan,150.00 kVA,143,,,,,40,,15,1,1
1007,San Pedro,Lliu Lliu,Quillota,30288,18 Septiembre República,75.00 kVA,69,,,,,8,,4,1,6
1008,Quintero,Maitenes,Costa,21328,Luis De La Cruz Vicuña,100.00 kVA,69,,,,,12,,6,3,3
1009,Quilpué,Marga Marga,Marga Marga,21243,El Rocio El Coigue,75.00 kVA,151,,,,,15,,3,4,6
1010,San Rafael,Los Andes,Los Andes,42882,Cond. Aires del Guindal Poniente,75.00 kVA,65,,,,,7,,4,2,
1011,San Rafael,Centenario,Los Andes,42231,Los Jardines de Los Andes_Pje. 6,100.00 kVA,52,,,,,34,,7,,1
1012,Bosquemar,Manatiales,Costa,20193,San Agustin Siete,150.00 kVA,115,,1,,,21,,7,,4
1013,Las Vegas,Santa Teresa,Los Andes,40412,Asto. Sta. Rosa,37.50 kVA,86,,,,,12,,6,,1
1014,San Antonio,Barrancas,San Antonio,50808,Las Violetas Los Jacintos,75.00 kVA,36,,,1,1,21,,7,3,2
1015,Quintero,Loncura,Costa,21231,El Peral Las Brisas,45.00 kVA,87,,,,,14,,2,2,1
1016,Placeres,Agua Santa,valparaiso,20050,SED Concepcion Agua Santa,200.00 kVA,258,,,,,76,,18,2,2
1017,San Rafael,Los Andes,Los Andes,42769,Juan Pablo II_Loteo J. de Calle Larga,75.00 kVA,74,,,,,11,,4,,1
1018,Quilpué,Freire,Marga Marga,20566,Troncos Viejos Las Vertientes,150.00 kVA,130,,,2,1,60,,5,2,11
1019,San Pedro,Pachacama,Quillota,30229,Principal Ocoa,45.00 kVA,41,,,1,1,26,,11,,1
1020,La Calera,Hijuelas,Quillota,31907,M Rodriguez Calle El Culto,45.00 kVA,82,,,,,8,,2,1,1
1021,Mayaca,Boco,Quillota,30752,Rio Aconcagua Rio Maipo,150.00 kVA,215,,1,,,33,,10,1,1
1022,Quintero,Maitenes,Costa,23987,SED Las Brisas Los Corales,75.00 kVA,78,,1,,,22,,7,,1
1023,Placeres,Agua Santa,valparaiso,20019,Antofagasta Agua Santa,150.00 kVA,257,,1,,,48,,9,5,3
1024,Mayaca,Boco,Quillota,30077,J M Carrera El Bajio 2,75.00 kVA,140,,,,,27,,17,3,
1025,San Rafael,Chacabuco,Los Andes,40181,Cooperativa Las Viñas,45.00 kVA,66,1,1,,,11,,5,,
1026,Peñablanca,Wilson,Marga Marga,20526,Madrid Sexta,150.00 kVA,209,,1,,,29,,18,1,2
1027,San Pedro,Limache,Quillota,30749,Prat O'Higgins,150.00 kVA,96,,,1,1,27,,5,3,2
